sample	popGrouping	ageAverage
NEO91	ancient-Hunter-Gatherer (W)	9122
NEO759	ancient-Hunter-Gatherer (W)	9028
NEO123	ancient-Hunter-Gatherer (W)	8182
NEO122	ancient-Hunter-Gatherer (W)	8146
NEO19	ancient-Hunter-Gatherer (W)	8163
NEO683	ancient-Hunter-Gatherer (W)	7529
NEO932	ancient-Hunter-Gatherer (W)	7499
NEO589	ancient-Hunter-Gatherer (W)	7478
NEO791	ancient-Hunter-Gatherer (W)	7048
NEO749	ancient-Hunter-Gatherer (W)	7070
NEO745	ancient-Hunter-Gatherer (W)	6790
NEO747	ancient-Hunter-Gatherer (W)	6729
NEO586	ancient-Hunter-Gatherer (W)	7031
NEO583	ancient-Hunter-Gatherer (W)	6981
NEO733	ancient-Hunter-Gatherer (W)	6824
NEO855	ancient-Hunter-Gatherer (W)	6302
NEO570	ancient-Hunter-Gatherer (W)	6369
NEO568	ancient-Hunter-Gatherer (W)	6586
NEO856	ancient-Hunter-Gatherer (W)	6777
NEO852	ancient-Hunter-Gatherer (W)	6308
NEO751	ancient-Hunter-Gatherer (W)	6343
NEO941	ancient-Hunter-Gatherer (W)	6372
NEO598	ancient-Hunter-Gatherer (W)	6075
NEO853	ancient-Hunter-Gatherer (W)	6047
NEO960	ancient-Hunter-Gatherer (W)	5926
NEO645	ancient-Hunter-Gatherer (W)	5870
NEO790	ancient-Early Farmer	5663
NEO891	ancient-Early Farmer	5661
NEO942	ancient-Early Farmer	5491
NEO896	ancient-Early Farmer	5446
NEO23	ancient-Early Farmer	5533
NEO753	ancient-Early Farmer	5531
NEO29	ancient-Early Farmer	5489
NEO43	ancient-Early Farmer	5067
NEO945	ancient-Early Farmer	5445
NEO886	ancient-Early Farmer	5457
NEO866	ancient-Early Farmer	5456
NEO28	ancient-Early Farmer	5459
NEO757	ancient-Early Farmer	5452
NEO595	ancient-Early Farmer	5452
NEO933	ancient-Early Farmer	5337
NEO744	ancient-Early Farmer	5333
NEO597	ancient-Early Farmer	5210
NEO935	ancient-Early Farmer	5187
NEO599	ancient-Early Farmer	5134
NEO898	ancient-Hunter-Gatherer (E)	5080
NEO25	ancient-Early Farmer	4956
NEO925	ancient-Early Farmer	4947
RISE61	ancient-Yamnaya	4621.5
NEO878	ancient-Yamnaya	4026
NEO943	ancient-Early Farmer	4614
NEO792	ancient-Yamnaya	4493
NEO870	ancient-Yamnaya	4240
NEO875	ancient-Yamnaya	3970
NEO92	ancient-Yamnaya	4188
NEO737	ancient-Yamnaya	4106
NEO738	ancient-Yamnaya	4103
NEO739	ancient-Yamnaya	3965
NEO861	ancient-Yamnaya	4102
NEO860	ancient-Yamnaya	3697
RISE71	ancient-Yamnaya	4059.5
NEO735	ancient-Yamnaya	3972
VK214	ancient-Yamnaya	3782
NEO93	ancient-Yamnaya	3735
NEO752	ancient-Yamnaya	3589
NEO563	ancient-Yamnaya	3350
NEO951	ancient-Yamnaya	3242
NEO590	ancient-Yamnaya	3290
NEO946	ancient-Yamnaya	3094
VK582	ancient-Yamnaya	1900
VK521	ancient-Yamnaya	1650
VK213	ancient-Yamnaya	1491
VK532	ancient-Yamnaya	950
VK65	ancient-Yamnaya	1200
VK69	ancient-Yamnaya	1200
VK70	ancient-Yamnaya	1200
VK71	ancient-Yamnaya	1200
VK312	ancient-Yamnaya	1075
VK313	ancient-Yamnaya	1075
VK314	ancient-Yamnaya	1075
VK329	ancient-Yamnaya	1163
VK325	ancient-Yamnaya	1091
VK328	ancient-Yamnaya	1079
VK326	ancient-Yamnaya	958
VK327	ancient-Yamnaya	945
VK324	ancient-Yamnaya	938
VK323	ancient-Yamnaya	900
VK322	ancient-Yamnaya	866
VK330	ancient-Yamnaya	861
VK301	ancient-Yamnaya	1185
VK319	ancient-Yamnaya	1150
VK294	ancient-Yamnaya	1075
VK315	ancient-Yamnaya	1075
VK369	ancient-Yamnaya	1075
VK300	ancient-Yamnaya	1075
VK340	ancient-Yamnaya	1075
VK384	ancient-Yamnaya	1075
VK84	ancient-Yamnaya	1075
VK87	ancient-Yamnaya	1075
VK385	ancient-Yamnaya	1075
VK90	ancient-Yamnaya	1075
VK92	ancient-Yamnaya	1075
VK445	ancient-Yamnaya	900
VK94	ancient-Yamnaya	900
VK371	ancient-Yamnaya	1065
VK134	ancient-Yamnaya	900
VK138	ancient-Yamnaya	900
VK139	ancient-Yamnaya	900
VK278	ancient-Yamnaya	900
VK280	ancient-Yamnaya	900
VK370	ancient-Yamnaya	900
